temRT,temHashtag,temUser,temURL,temLetraRepetid,numeroLetrasRepetidas,temPontoInterrogacao,temPontoExclamaco,EmojisPositivo,EmojisNegativo,quantidadePalavras,quantidadePalavrasQueIniciamMaiusculas,quantidadePalavrastodasAsLetrasMaiusculas,quantidadeLetrasMaiusculas,quantidadePontosInterogacao,quantidadePontosExclamacao,quantidadeEmojisPositivos,quantidadeEmojisNegativos,mediaCharacteresPorPalavra,classe
0,0,0,1,1,3,0,0,0.0,0.0,16.0,11.0,3.0,19.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NEGATIVO
0,0,0,1,1,3,0,0,0.0,0.0,12.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,0,0,0,1,0.0,0.0,42.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,NEUTRO
0,0,0,1,1,4,0,0,0.0,0.0,12.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,19.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,NEGATIVO
0,0,0,1,0,0,0,0,0.0,0.0,14.0,10.0,4.0,21.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,1,0,1,0,0,0,0,0.0,0.0,12.0,7.0,5.0,33.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,13.0,9.0,1.0,15.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,4,0,0,0.0,0.0,12.0,7.0,1.0,17.0,0.0,0.0,0.0,0.0,8.0,NEUTRO
0,0,0,1,0,0,0,0,0.0,0.0,13.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,1,1,6,0,0,0.0,0.0,13.0,8.0,2.0,18.0,0.0,0.0,0.0,0.0,7.0,NEUTRO
0,0,0,0,1,3,0,0,0.0,0.0,44.0,5.0,2.0,13.0,0.0,0.0,0.0,0.0,5.0,NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,1,1,1,1,8,0,0,0.0,0.0,34.0,9.0,1.0,22.0,0.0,0.0,0.0,0.0,7.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,19.0,7.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,1,0,0,0,0,0,0.0,0.0,11.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,NEGATIVO
0,0,0,0,1,3,0,0,0.0,0.0,21.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,1,3,0,0,0.0,0.0,36.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,1,0,0,0,0,0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,POSITIVO
0,0,0,0,0,0,1,0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
0,0,0,1,1,8,0,0,0.0,0.0,33.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,6.0,NEGATIVO
0,0,0,0,0,0,0,0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,0,0,0,0,0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,3,0,0,0.0,0.0,14.0,8.0,1.0,15.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,1,0,1,1,3,0,0,0.0,0.0,13.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,0,1,9,0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,POSITIVO
0,0,0,1,1,6,0,0,0.0,0.0,37.0,7.0,3.0,21.0,0.0,0.0,0.0,0.0,6.0,NEUTRO
0,0,0,1,1,3,0,0,0.0,0.0,24.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,POSITIVO
